symbol	gene_number	ensembl_gene	ensembl_trans	chebl_id	uniprot_gname	entrez_id	wikigene
AOC3	8639.1	ENSG00000131471	ENST00000308423	CHEMBL3437	Q16853	8639.0	8639.0
AOC1	26.1	ENSG00000002726	ENST00000493429	CHEMBL2118	P19801	26.0	26.0
AOC2	314.2	ENSG00000131480	ENST00000253799	CHEMBL4112	O75106	314.0	314.0
AOC2	314.1	ENSG00000131480	ENST00000253799	CHEMBL4112	O75106	314.0	314.0
CYP24A1	1591.1	ENSG00000019186	ENST00000216862	CHEMBL4521	Q07973	1591.0	1591.0
CYP27B1	1594.1	ENSG00000111012	ENST00000228606	CHEMBL5993	O15528	1594.0	1594.0
SDS	10993.1	ENSG00000135094	ENST00000257549		P20132	10993.0	10993.0
SULT1A3	6818.1	ENSG00000261052	ENST00000338971	CHEMBL1743293	P0DMM9	6818.0	6818.0
SLC25A21	89874.1	ENSG00000183032	ENST00000555449		Q9BQT8	89874.0	89874.0
LDHAL6B	92483.1	ENSG00000171989	ENST00000307144		Q9BYZ2	92483.0	92483.0
LDHC	3948.2	ENSG00000166796	ENST00000541669		P07864	3948.0	3948.0
UEVLD	55293.1	ENSG00000151116	ENST00000396197		Q8IX04	55293.0	55293.0
LDHB	3945.1	ENSG00000111716	ENST00000396076	CHEMBL4940	P07195	3945.0	3945.0
LDHA	3939.1	ENSG00000134333	ENST00000422447	CHEMBL4835	P00338	3939.0	3939.0
LDHAL6A	160287.1	ENSG00000166800	ENST00000396213		Q6ZMR3	160287.0	160287.0
LDHC	3948.1	ENSG00000166796	ENST00000541669		P07864	3948.0	3948.0
SLC16A3	9123.1	ENSG00000141526	ENST00000584689		P57787	9123.0	9123.0
SLC16A7	9194.1	ENSG00000118596	ENST00000552432	CHEMBL2073704	O60669	9194.0	9194.0
SLC16A1	6566.1	ENSG00000155380	ENST00000369626	CHEMBL4360	P53985	6566.0	6566.0
SLC4A5	57835.3	ENSG00000188687	ENST00000394019		Q9BY07	57835.0	57835.0
SLC4A4	8671.1	ENSG00000080493	ENST00000264485		Q9Y6R1	8671.0	8671.0
